Date,Heure,Time,leader_CARMA_mode,leader_Speed_command,leader_CARMA_ovr,leader_avg_speed_driven_wheels,leader_ACC_speed,leader_ACC_status,leader_GPS_CARMA_speed,leader_GPS_speed,leader_acceleration,leader_fuel_consumption,leader_CARMA_ovr_manual,leader_radar1,leader_radar7,leader_radar9,follower1_CARMA_mode,follower1_Speed_command,follower1_CARMA_ovr,follower1_avg_speed_driven_wheels,follower1_ACC_speed,follower1_ACC_status,follower1_GPS_CARMA_speed,follower1_GPS_speed,follower1_acceleration,follower1_fuel_consumption,follower1_CARMA_ovr_manual,follower1_radar1,follower1_radar7,follower1_radar9,follower2_CARMA_mode,follower2_Speed_command,follower2_CARMA_ovr,follower2_avg_speed_driven_wheels,follower2_ACC_speed,follower2_ACC_status,follower2_GPS_CARMA_speed,follower2_GPS_speed,follower2_acceleration,follower2_fuel_consumption,follower2_CARMA_ovr_manual,follower2_radar1,follower2_radar7,follower2_radar9,follower3_CARMA_mode,follower3_Speed_command,follower3_CARMA_ovr,follower3_avg_speed_driven_wheels,follower3_ACC_speed,follower3_ACC_status,follower3_GPS_CARMA_speed,follower3_GPS_speed,follower3_acceleration,follower3_fuel_consumption,follower3_CARMA_ovr_manual,follower3_radar1,follower3_radar7,follower3_radar9,follower4_CARMA_mode,follower4_Speed_command,follower4_CARMA_ovr,follower4_avg_speed_driven_wheels,follower4_ACC_speed,follower4_ACC_status,follower4_GPS_CARMA_speed,follower4_GPS_speed,follower4_acceleration,follower4_fuel_consumption,follower4_CARMA_ovr_manual,follower4_radar1,follower4_radar7,follower4_radar9
17/07/2018,13:44:01,2.0,,,,0.30815996875,20.9895850125,0.0,,1.472221766752,-0.78,2.65,,0.0,0.0,0.0,0.0,0.0,0.0,3.58941259375,15.1909734375,0.0,3.472,4.916665145568,-1.57,2.375,,10.625,0.0,0.0,,,,6.32378978125,20.5555572,0,,7.694442063968,-2.25,2.4,,13.0,0.0,28.0,0.0,0.0,0.0,10.22136234375,0.0,0.0,9.791,11.194440981152,-1.57,3.15,,14.625,0.0,0.0,0.0,0.0,0.0,15.572929125,21.4409739375,0.0,14.050999999999998,,-0.29,0.0,,70.125,97.0,0.0
17/07/2018,13:44:02,2.1,,,,0.22135434375,20.9895850125,0.0,,1.333332920832,-0.68,3.5,,0.0,0.0,0.0,0.0,0.0,0.0,3.42448190625,15.1909734375,0.0,3.31,4.777776299648,-1.57,2.425,,10.25,0.0,0.0,,,,6.0416715,20.5555572,0,,7.499997679680001,-2.25,2.375,,12.625,0.0,27.125,0.0,0.0,0.0,9.7916745,0.0,0.0,9.6,11.1111076736,-1.76,2.675,,14.375,0.0,0.0,0.0,0.0,0.0,15.52518603125,21.4409739375,0.0,13.929,,-0.29,0.0,,70.0,96.75,0.0
17/07/2018,13:44:02,2.2,,,,0.17361125,20.9895850125,0.0,,1.222221844096,-0.58,2.6,,0.0,0.0,0.0,0.0,0.0,0.0,3.26823178125,15.1909734375,0.0,3.157,4.611109684544,-1.47,1.95,,10.0,0.0,0.0,,,,5.90712278125,20.5555572,0,,7.277775526208,-2.06,2.925,,12.375,0.0,0.0,0.0,0.0,0.0,9.6267438125,0.0,0.0,9.404,10.888885520128,-1.86,3.125,,14.0,0.0,0.0,0.0,0.0,0.0,15.4774429375,21.4409739375,0.0,13.797,,-0.29,0.0,,70.0,96.25,0.0
17/07/2018,13:44:02,2.3,,,,0.12586815625,20.9895850125,0.0,,1.11111076736,-0.49,3.425,,0.0,0.0,0.0,0.0,0.0,0.0,3.072919125,15.1909734375,0.0,3.0039999999999996,4.472220838624,-1.47,2.45,,9.625,0.0,0.0,,,,5.7204906875,20.5555572,0,,7.083331141919999,-1.86,2.975,,12.0,0.0,0.0,0.0,0.0,0.0,9.40972975,0.0,0.0,9.214,10.749996674207999,-1.96,3.125,,13.75,0.0,0.0,0.0,0.0,0.0,15.4774429375,21.4409739375,0.0,13.664000000000001,,-0.29,0.0,,69.875,96.0,0.0
17/07/2018,13:44:02,2.4,,,,0.0,20.9895850125,0.0,,1.027777459808,-0.49,3.425,,0.0,0.0,0.0,0.0,0.0,0.0,2.9166689999999997,15.1909734375,0.0,2.85,4.30555422352,-1.47,2.0,,9.375,0.0,0.0,,,,5.51649746875,20.5555572,0,,6.888886757632,-1.76,2.95,,11.875,0.0,0.0,0.0,0.0,0.0,9.27518103125,0.0,0.0,8.998,10.583330059104,-2.06,3.125,,13.25,0.0,0.0,0.0,0.0,0.0,15.42969984375,21.4409739375,0.0,13.540999999999999,,-0.29,0.0,,69.75,95.5,0.0
17/07/2018,13:44:02,2.5,,,,0.0,20.9895850125,0.0,,0.916666383072,-0.39,2.55,,0.0,0.0,0.0,0.0,0.0,0.0,2.81250225,15.1909734375,0.0,2.713,4.1666653776,-1.47,2.05,,9.0,0.0,0.0,,,,5.41233071875,20.5555572,0,,6.66666460416,-1.57,3.4,,11.5,0.0,0.0,0.0,0.0,0.0,9.06250725,0.0,0.0,8.772,10.416663444,-2.15,3.125,,13.0,0.0,0.0,0.0,0.0,0.0,15.36025534375,21.4409739375,0.0,13.407,,-0.39,0.0,,69.625,95.125,0.0
17/07/2018,13:44:02,2.6,,,,0.0,20.9895850125,0.0,,0.8055553063359999,-0.19,3.45,,0.0,0.0,0.0,0.0,0.0,0.0,2.6649326875,15.1909734375,0.0,2.5580000000000003,3.999998762496,-1.47,1.575,,8.75,0.0,0.0,,,,5.24305975,20.5555572,0,,6.472220219872,-1.47,3.325,,11.375,0.0,0.0,0.0,0.0,0.0,8.8281320625,0.0,0.0,8.533999999999999,10.222219059712,-2.25,3.1,,12.625,0.0,0.0,0.0,0.0,0.0,15.3385539375,21.4409739375,0.0,13.267999999999999,,-0.29,0.0,,69.375,94.625,0.0
17/07/2018,13:44:02,2.7,,,,0.0,20.9895850125,0.0,,0.749999767968,0.0,2.575,,0.0,0.0,0.0,0.0,0.0,0.0,2.46962003125,15.1909734375,0.0,2.4019999999999997,3.833332147392,-1.47,2.175,,8.375,0.0,0.0,,,,5.09983046875,20.5555572,0,,6.305553604768,-1.47,2.825,,11.0,0.0,0.0,0.0,0.0,0.0,8.750007,0.0,0.0,8.289,10.055552444608,-2.35,3.1,,12.375,0.0,0.0,0.0,0.0,0.0,15.28213028125,21.4409739375,0.0,13.127,,-0.29,0.0,,69.375,94.375,0.0
17/07/2018,13:44:02,2.8,,,,0.0,20.9895850125,0.0,,0.666666460416,0.0,2.525,,0.0,0.0,0.0,0.0,0.0,0.0,2.36545328125,15.1909734375,0.0,2.245,3.694443301472,-1.47,1.825,,8.125,0.0,0.0,,,,5.0781290625,20.5555572,0,,6.1111092204799995,-1.47,3.25,,10.875,0.0,0.0,0.0,0.0,0.0,8.32031915625,0.0,0.0,8.033,9.86110806032,-2.45,3.125,,11.875,0.0,0.0,0.0,0.0,0.0,15.225706625,21.4409739375,0.0,12.974,,-0.29,0.0,,69.0,93.75,0.0
17/07/2018,13:44:02,2.9,,,,0.0,20.9895850125,0.0,,0.611110922048,0.0,3.375,,0.0,0.0,0.0,0.0,0.0,0.0,2.22656428125,15.1909734375,0.0,2.0909999999999997,3.527776686368,-1.47,2.75,,7.875,0.0,0.0,,,,4.9045178125,20.5555572,0,,5.944442605376,-1.47,2.75,,10.5,0.0,0.0,0.0,0.0,0.0,8.14670790625,0.0,0.0,7.815,9.666663676032,-2.45,3.175,,11.625,0.0,0.0,0.0,0.0,0.0,15.225706625,21.4409739375,0.0,12.812999999999999,,-0.29,0.0,,68.875,93.5,0.0
